videoId,title,publishedAt,viewCount,likeCount,commentCount,fetchDate
e5onzptQghg,Just in from the news desk 📰: Google Play Games Level Up Program,2025-10-02T16:01:07Z,2120,33,1,2025-10-04
qPSqowMfAaE,The infinite loop of estimating project timelines 🔁,2025-10-02T04:01:05Z,33097,498,18,2025-10-04
BxOrnFtdKGM,What’s your go-to tip to grow as a new dev? 🤔,2025-09-30T23:00:23Z,4299,120,4,2025-10-04
bK2k68Wab-A,How would you give each new hire their own private office? Go!,2025-09-29T13:01:12Z,16236,115,59,2025-10-04
vApNbHuqkhg,When non-devs try to pronounce dev words…,2025-09-26T04:01:24Z,10397,186,13,2025-10-04
5w_Ya_jddiY,An AI that builds its own user interface,2025-09-25T04:00:08Z,11270,415,6,2025-10-04
4uOuEIrC8Cg,POV: You’re showing your non-dev friend the button you coded.,2025-09-23T23:00:07Z,15514,139,3,2025-10-04
Vl5uNCjhf-w,What software solution will make the elevator faster? Go!,2025-09-22T13:01:04Z,13337,201,42,2025-10-04
1N2eDXfHbLA,Learn how to drive a race car with Gemini ✨,2025-09-18T23:00:04Z,12015,161,8,2025-10-04
8VehpK7BWLQ,What's on the news desk for Google Developers this month? Gemma 270M!,2025-09-18T19:00:08Z,4606,102,7,2025-10-04
OUkEr5fRW48,Complicated tests may hide bugs. Simple tests expose them.,2025-09-18T04:00:32Z,4916,244,4,2025-10-04
nvkZrW6W8Qc,How to unlock data for smarter AI agents,2025-09-16T19:00:53Z,4698,170,4,2025-10-04
IoqFpHNZMko,Just in from the news desk 📰: Gemini CLI now in Zed,2025-09-15T19:12:21Z,5451,174,9,2025-10-04
-TQOVAVxVQY,How would you coordinate these print jobs without using locks or mutexes? Go!,2025-09-15T13:05:59Z,11847,191,52,2025-10-04
8GkWFd0Xewo,What will this function actually print? Go!,2025-09-08T13:00:25Z,5619,90,20,2025-10-04
BZYPZlSIAk4,Just in from the news desk 📰: Gemma 3 270M,2025-09-04T23:00:17Z,6861,194,12,2025-10-04
XebqcEaM5XY,#GoogleIOConnect China  was a success!,2025-09-04T04:00:41Z,3651,114,3,2025-10-04
V7KlKIk9Uxw,How to prototype apps faster,2025-09-03T04:00:38Z,6588,195,4,2025-10-04
on53GnHbGw8,See what’s possible with Gemini and Gemma.,2025-09-02T23:01:01Z,3787,112,0,2025-10-04
H3AVJ6HtNOE,Task-focused coding agents: The future of software developers,2025-08-29T04:00:19Z,5233,91,2,2025-10-04
DtOeEqasQYs,Why using DRY (Don’t Repeat Yourself) too early can work against you!,2025-08-28T04:00:29Z,9731,271,9,2025-10-04
686PL7rt654,World’s Fastest Dinner Date,2025-10-03T16:00:03Z,81691808,1710475,4799,2025-10-04
NfhuGUyWYfQ,Would Your Grandma Go Skydiving?,2025-09-26T18:00:07Z,57860057,1817265,6048,2025-10-04
wIpWCJKfRXs,I Cooked A Pizza With Power Tools,2025-09-23T16:00:07Z,180295135,4179618,14374,2025-10-04
9Xeepzg1B8I,Which Celebrity Punches The Hardest?,2025-09-19T16:00:03Z,92034705,2359078,7386,2025-10-04
50G0kIty7Cg,"Answer The Call, Win $10,000",2025-09-16T17:00:04Z,143561007,3904120,10289,2025-10-04
3ih2bPKSWsQ,I Arrested IShowSpeed,2025-09-12T17:00:01Z,51563696,1747748,5177,2025-10-04
uA9Zcg3vHvo,I Raced IShowSpeed,2025-09-01T20:45:41Z,314724437,6564994,8064,2025-10-04
MOGW3v3pJ5Y,1 Subscriber = 1 Penny Donated,2025-08-29T16:00:10Z,542395968,22299097,27337,2025-10-04
XNtTO_339kU,"Pick The Wrong Tube, Get Slimed",2025-08-27T16:00:02Z,89748127,2093215,6839,2025-10-04
rB9NynBZ4go,Reaction Time Challenge,2025-08-19T16:00:02Z,100216688,1677975,10973,2025-10-04
R_BmT1OJw98,Every YouTube Play Button I Have,2025-08-15T16:00:01Z,73829464,1909531,11891,2025-10-04
vpRW4JhzfSE,1 Subscriber = 1 Second In The Arctic,2025-08-08T16:00:02Z,59730970,2174291,10120,2025-10-04
qXW93Cois2s,Guess What Hit You,2025-08-05T16:00:01Z,61010832,1106056,5362,2025-10-04
r7f0L48dHpc,$1  = One Year of Clean Water,2025-08-02T16:00:02Z,113745794,3547808,14659,2025-10-04
zxuICI0kL3s,"Don’t Turn Around, Win $10k",2025-07-31T16:00:01Z,291545565,5700910,7541,2025-10-04
R1SFXJo-FlE,Subscribe To Explode The TNT,2025-07-29T16:00:01Z,82842492,2568967,9964,2025-10-04
EiFcNbXBqeo,Jet Engine vs Human for $10k,2025-07-20T16:00:01Z,122334087,1993082,6171,2025-10-04
R7oW0LwS_e4,I Met Neymar,2025-07-11T16:15:07Z,93534620,1617877,14693,2025-10-04
BfKI_TQnQvo,I Raced A Cheetah,2025-07-06T16:00:01Z,120870598,2889797,12881,2025-10-04
NjlP2_l1Wr0,"You Lose, You Get Shot",2025-06-30T16:00:08Z,93929333,1582547,6364,2025-10-04
gGcaGdHlt60,"If You Spill, You Lose!",2025-06-25T17:00:08Z,367702160,3441476,7157,2025-10-04
V6In4tmd-w8,"$1 vs $25,000 VFX",2025-06-19T17:00:41Z,85059458,2172201,12024,2025-10-04
ZGvn9ywXjpY,Feastables vs Reese’s Taste Test with @gordonramsay,2025-06-10T16:00:02Z,271562948,5323743,12647,2025-10-04
